Macro_Nicho,Sub_Nicho,Detalle_Producto,Rating,Review
health personal care,nutrition wellness,nutrition bars drinks,3.0,"The Almond Brownie bar was OK. The taste was just as good as any other power-type bar that I've tried. But it wasn't something that I'd crave. I expected it to provide me with more energy, kind of like taking a vitamin. Perhaps not that day, but the next. To be honest, I didn't notice much difference in my level of energy. With the price that they charge for purchasing a power bar, I don't think I'd recommend it to friends and family. I do think that I may purchase them again for myself though."
health personal care,nutrition wellness,nutrition bars drinks,3.0,"The Balance chocolate brownie bar with almonds was not the best tasting product out there on the market today. It was heavy and somewhat filling, but very thick, dense, and tasted bland. It really left something to be desired. It was chewy like a brownie and it sort of resembled a brownie, but upon biting into the bar, you just know it's not a brownie. After the first bite, it was kind of hard to eat. It reminded me of these terrible diet cookies that tasted as though they were filled with sawdust. It really needs more taste. Overall, I rated the brownie bar as three stars because I suppose that taste versus nutrition is a tradeoff."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"I really liked the flavor of the bars. They were a little sticky however. You need your beverage near by. The ingredients were about the same as other bars, but I felt the flavor was better! I would definitely recommend this product to people who are health minded. I hope the other flavors are as good."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"The Balance Almond Brownie Bar provides a nutritious alternative for when you need a chocolate fix. Unlike other nutritional food bars I've tried, this one pays close attention to providing not only the vitamins you need but also the minerals. Without sacrificing taste, it provides a good balance of carbohydrates, fats, and proteins. While it did taste rather good (especially compared to some of the other brands of bars I've tried that resembled flavored cardboard in taste and texture) the Almond Brownie Balance Bar is somewhat dry, though consuming it with a tall, cold glass of milk resolves this issue."
health personal care,nutrition wellness,nutrition bars drinks,5.0,"I thought these nutrition bars were quite good. I've tried nutrition bars in the past and have always been disappointed. These bars not only tasted good, but they actually filled me up. I'm a college student and a lot of times I don't have time to stop and eat a full meal between classes. These bars were perfect for an on-the-go burst of energy. I've already recommended them to my fellow roommates and they all enjoyed these bars as well."
health personal care,nutrition wellness,nutrition bars drinks,2.0,"The only way I can describe these bars is with the word sweet. Too sweet, in fact. They have a good taste as long as you have a real sweet tooth. They're good on the run, but unless you're used to lots of sugar in the morning, I wouldn't recommend them for breakfast. Maybe in place of dessert though."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"The taste was slightly chalky but altogether pleasing. After all, it's NOT a candy bar! Also, it would be a great idea to place a set of instructions for use in with the product. I ate one bar for breakfast and one for lunch, but I had no idea if that was a reasonable use of the product. Finally, the bars are easy to open and easy to carry in a purse or a backpack. I'll be buying more Balance Bars for my meals of the future!"
health personal care,nutrition wellness,nutrition bars drinks,5.0,I really like this nutrition bar. I've tried many nutrition bars over the years and I rate this one right in the top two or three. It's very tasty -- much like a cross between a chocolate/raspberry truffle and a 3-Musketeers bar. My kids like them too.
health personal care,nutrition wellness,nutrition bars drinks,5.0,I really like this nutrition bar. I've tried many nutrition bars over the years and I rate this one right in the top two or three. It's very tasty -- much like a cross between a chocolate/raspberry truffle and a 3-Musketeers bar. My kids like them too.
health personal care,nutrition wellness,nutrition bars drinks,4.0,"Very tasty, my kids loved them. They're kind of messy though -- my three year old got the other layer of yogurt covering all over himself and everything else he touched. These bars are great if you don't have time in the morning to fix a big breakfast -- just eat one of these and you're good to go 'til lunchtime."
health personal care,health care,foot care,5.0,This is an excellent product. Very comfortable and easy to use. I didn't have any discomfort adjusting to using these insoles. They make walking more comfortable.
health personal care,nutrition wellness,nutrition bars drinks,3.0,"What I liked about this product was the fresh taste. This bar was moist and you could really taste the ingredients (peanut butter and chocolate chips.) For me, the bar was very filling just by itself, but for my husband it wasn't as filling. Overall, the bar was of good quality and tasted good. I think that compared to other bars of the same nature, this one would have to be better."
health personal care,nutrition wellness,nutrition bars drinks,4.0,"I really liked the taste of the Power Bars. They were by far the best food bars I've ever eaten. They didn't really taste like peanut butter, but the chocolate was good. They were very dense, so it was hard to eat the whole thing. I really enjoyed them a lot!"
health personal care,nutrition wellness,nutrition bars drinks,4.0,"I thought this Power Bar was great! I'm a fitness nut always looking for ways to improve my level of fitness. This will certainly be added to my shopping list. The chocolate taste was superb, and the bar was quite filling. With only four grams of fat and seven grams of protein, it was a great snack that filled me up. And I do mean filled me up. With a large glass of water, it kept me going for a couple of hours without being hungry. The texture of the bar, if you're not use to sports bars, was heavy, but that's where the """"filling"""" comes in. It lives up to its promise to being a moist and crunchy energy bar! I'd surely recommend it over other ones that I've tasted. The real chocolate really makes the bar!"
health personal care,nutrition wellness,nutrition bars drinks,2.0,"These didn't really taste the way I expected and I didn't care for them. I like peanut butter and chocolate chips, but I just didn't like them together. My son and husband both loved them, so I guess it's your preference. Maybe I will try a different flavor because I need all the energy I can get."
health personal care,health care,incontinence,5.0,Depends Fitted Briefs withstood our test! We had NO nighttime leaks. Other products that we've used so far have always eventually leaked. We're pleased with this product and will recommend it to others looking for a nighttime diaper system for bigger children or adults.
health personal care,nutrition wellness,nutrition bars drinks,5.0,"The Peanut Butter Chocolate Chip Harvest Power Bars are great! My husband and I like to use them during our bike rides. We typically ride between 30-40 miles at a time, and half way through, we like to stop and take a Power Bar break. The Power Bars are great for giving you a little bit of extra energy, plus they help if you're getting a little hungry. They're a nutritious snack and they taste great. The Harvest Bars have the texture of a granola bar. The other bars have a smooth texture, whereas these give you some crunch. It really does taste like Peanut Butter Chocolate Chip. I would definitely recommend this product to someone if they asked for a recommendation for an energy bar. Great stuff!"
health personal care,health care,incontinence,5.0,"I choose this product because I help care for my elderly grandmother. This product deserves its name. She suffers with bladder control both day and night. The fit of these is great, especially in the leg area. The absorbency is excellent. She has spent a lot of restless nights having to get up and change, because of leakage and just feeling wet. This was never a problem with the Depends. She just slept through the night. I would recommend this product to everyone. They're rather costly, but you get just what you pay for and that's what really counts."
health personal care,nutrition wellness,nutrition bars drinks,5.0,"I'm a college student and I found this bar to be extremely convenient. The day after I received them I woke up ten minutes before class began. I jumped out of bed, grabbed a bar, and raced towards class. The bar was incredible -- it had a sweet peanut flavor that wasn't too sweet. It had a pleasant aftertaste, unlike other bars. The bar was light but satisfying. Usually I end up eating too much and falling asleep in class. Whether it was the nutrition or the ginseng, this product was great for energy. I'd use it again and again."
health personal care,health care,foot care,5.0,This product is excellent. They helped keep my feet dry and odor free. They also added cushioning to my shoes. I'd definitely recommend them to all my friends and family.
health personal care,health care,cough cold,3.0,"These drops taste good, for a cough drop. I don't really like cough drops and these tasted too much like medicine for me. I might use them if I had a sore throat, or if I were a cough drop person, I'd probably really like these a lot."
health personal care,health care,stress reduction,5.0,"this is one ofthe best i have ever heard for nature-type new age music. some gentle rain, flutes, and other instruments. it expresses the gentle beauty and mustique of the forest. i reccommend it to anyone! it's also very relaxing for me and the flow of the music is very pleasing. enjoy!"
health personal care,health care,family planning contraceptives,3.0,"The test was easy enough to use. However, it was messy, as the urine collection pad didn't have a cover on it. You have to place it on the table with the collection pad facing downwards (since the result window is on the other side) and that resulted in a most unhygienic and messy situation with urine on the table. I found that to be the biggest drawback. Also, reading the results wasn't easy; there's a difference between the darkness of the lines, even if you have two lines that would indicate a positive result. I think it's an average product."
health personal care,nutrition wellness,vitamins supplements,3.0,"After using this product daily, as directed, I really didn't notice any change."
health personal care,health care,pain relievers,5.0,I'd most definitely recommend this product to all my family and friends. I've been taking pain medication for several years for a back and neck injury. I look forward to purchasing more of this product. I'm so glad to have found an online store to handle my family's needs.
health personal care,health care,pain relievers,4.0,I thought the product was like any other of the Advil-type products that are out on the market now. I liked taking the smaller pills.
health personal care,health care,pill cases splitters,2.0,"I wouldn't recommend this to anyone. I tried several different sizes of tablets, pills, and vitamins -- everything I had in the house. It just crushed everything into powder. The instructions were no help at all. I couldn't figure out which direction the tablets should go in. I tried every way and no results. This product isn't worth the money."
health personal care,health care,first aid,5.0,I used Cortaid Intensive Therapy Cream to treat a bout of contact dermatitis. I sometimes get a rash under my rings and have never found a great over-the-counter treatment -- until now. I was sooo surprised at how well this took care of the rash. I felt relief instantly and within a few hours the rash was gone. Will definitely continue using this product.
health personal care,nutrition wellness,vitamins supplements,4.0,"These drops taste great, and really helped my allergy-induced sore throat. I'd buy them from drugstore.com again."
health personal care,nutrition wellness,nutrition bars drinks,5.0,I love this product. It has a great taste. The packaging seems to keep the bars fresh. They are very delicious. I look forward to buying this item.
health personal care,nutrition wellness,vitamins supplements,5.0,I've been taking calcium for quite a while and really prefer these over the brand I was taking. These were smaller and easier to swallow. They also had more calcium per tablet so I didn't have to take as many. They actually saved me money and I'd definitely recommend these to anyone taking calcium on a daily basis.
health personal care,health care,unknown,4.0,These ear plugs were very comfortable and reduced noise significantly. I also like the carrying case provided to keep them clean.
health personal care,health care,diabetes,3.0,"I liked the opportunity to Test Drive this product. I, however, found this to be somewhat complicated to use. It comes with an instructional video that helped somewhat, but it took quite some getting used to compared with the traditional needle injection. I plan on practicing and using it more."
health personal care,nutrition wellness,vitamins supplements,3.0,"I liked that these vitamins are designed with women in mind and come prepackaged in daily packets. That way, there's only one box of vitamins instead of several. The only problem I had was that when I took the entire packet (with a meal), I became nauseous. I remedied that problem by dividing the packet and took them with lunch and dinner. I'd recommend these vitamins to a friend."
health personal care,health care,pain relievers,5.0,"My mom hurt her shoulder over the weekend, and the Ace Instant Cold Compress was a great help. It was instantly cold and provided some much-needed relief to her aching area. I'd definitely use this product again -- it was fast and simple to use!"
health personal care,health care,digestion nausea,4.0,"This product seems little better than similar products I've tried. I think the taste is better, but there's the same residue left in your mouth after chewing it thoroughly and swallowing. It helps with acid stomach as it's advertised. I wouldn't hesitate to recommend it, but I wouldn't recommend it above others I've tried."
health personal care,health care,digestion nausea,3.0,"These tablets claim to taste better than most other antacids and that point is true...there isn't the nasty chalky aftertaste that other antacids have. However, other than that, Amitone works the same as all the other antacids. I cannot tell any difference with Amitone over the others. So, if you're tired of the aftertaste of other antacids, try Amitone."
health personal care,nutrition wellness,vitamins supplements,4.0,The Melatonin was the perfect thing to help me get to sleep. It didn't make me too groggy in the morning and it wasn't too strong. It isn't something that I'd use every night. It helped me just get my sleep schedule back on track. I can still fall asleep the nights after I've used it.
health personal care,health care,digestion nausea,5.0,This product worked great for me. I've been so used to just drinking Mylanta or Pepto that taking a small pill was a great change. I like that I can take it prior to eating foods that will normally upset my stomach and the upset is prevented. I can now enjoy just about any food without acid discomfort.
health personal care,health care,incontinence,4.0,"This product is in very nice and discreet packaging. The name doesn't belie what's enclosed, which is essential when one feels the need to keep such matters as adult incontinence private. I thought the price was expensive, but the product, Serenity Pads, is a good product. It holds fluids as described on the packaging. I would suggest a stronger deodorant brand, however, to keep odors hidden."
health personal care,health care,thermometers,5.0,"This is a quick, easy, and safe way to check temps especially on children. You don't have to worry about glass breaking and you can feel confident that the reading will be accurate."
baby products,feeding,bottle feeding,5.0,"These are the best liners for baby. They are easy to handle, easy to fill and durable. Best of all they are easy to dispose of and store. My neice's and nephew's used theses and they are currently on my registry for our first child! I would not choose any other liner on the market!"
baby products,feeding,breastfeeding,5.0,"I am a nursing, working mom and I have found that these little containers are a lifesaver! They attatch to the bottom of the Isis pump (also by Avent) for no hassle pumping. Then the top goes on tight, so you don't have to worry about leakage or spillage (if you were to pour into another container).Much easier to deal with than bags that flop over in the freezer and get into wierd shapes. These Avent Breast Milk containers can stack very easily so they don't take over your freezer. I recomend putting a sticky label (I use address labels cut in half) with the date and time expressed on top of the rubber sealing disc, as this is the easiest place to totally remove the adhesive gum.The baby sitter just has to screw on a new Avent cap with nipple attatched (or pop the sealing disc out and put a nipple in). If you later decide to make your own organic baby food in your blender or food processor, these containers can also be used to store &amp; freeze your baby's first foods!"
baby products,feeding,bottle feeding,4.0,"Washing bottles has never been easier! This has been an easy way to clean bottles in a matter of minutes versus waiting for the dishwasher or hand washing them- so easy my husband helps all the time! This item is also great for traveling and you can even sterilize other itmes as pacifiers, plastic spoons etc. Just becareful when you open the unit not to burn yourself with the hot water. Another helpful tip- when drying the bottles, cloth diaper rags work great."
grocery gourmet food,beverages,juices,2.0,"Michael Keaton brings no distinguishing characteristics to the ghoul 'Beetlejuice', he merely acts bizarre, as does the script. It is often stunning cinematography but when the movie itself comes into focus, it's like finding one of Beetlejuice's snacks in your popcorn."
health personal care,health care,massage relaxation,5.0,"I was very surprised to read some negative comments about this item. This massager is dynamite! It massages deep and is very effective. Great for sore muscles after a workout. Two of my relatives have already bought this for themselves after trying mine. Definitely go with this model which has heat! It's great solo, but even better when your partner does it for you!"
baby products,feeding,bottle feeding,4.0,"We have been using the AVENT bottle system for supplementing our child as well as feeding pumped breast milk. This was the system recommended to us by a lactation consultant. They are very handy, easy to drink from, and easy to wash. The only problem we have had is if the nipples aren't on just right, the bottle will leak at the collar. But other than that the bottles and nipples are very durable (still look like new after months of use). We are additionally very satisfied with the AVENT pacifiers.If I had to purchase the bottles all over again, I would buy more 9 oz. bottles. It doesn't take long for the babies to get to the point where they are drinking more than 4-5 ozs (what the smaller bottles hold)."
baby products,feeding,breastfeeding,2.0,"Aside from the noise it makes(like a cow) the pump is malfunctioming after 4 weeks of use. The on off button doesnt always work and it is losing suction and power. And since I can't find a 1 800 number for the manufacture, cant return it to the store of purchase( &quot;sanitary reasons&quot; ),and if i return it to the manufacture i have to get a replacement while this one is out of service, we have no choice but to mess with it ourselves. As a first time mom i prefer to give birth again than to try and use this pump at work , my only private place since the machine is so loud will be out in the car and hope that noone walks by. They need to have better customer support from this manufacture."
grocery gourmet food,beverages,juices,5.0,This film is awesome. The DVD is not what it could be. Warner Brothers must not like special editions or Tim Burton or something. Superman has a special edition DVD. Burton's Beetlejuice does not nor does his Batman films. But this particular Burton film deserves a special editon more than any fim Burton has made. I'm still waiting for a sequel.
baby products,feeding,breastfeeding,3.0,"Although I've been using it for less than a week, I do use it 3 times per day at work. I have the Pump in Style breastpump, but its a bit heavy to carry with all the other things I carry to work (including a laptop) it was just too big. Also, my office is completely opened - everything has windows - including the private offices (if you can call them private) as well as the conference rooms. The only place I can really pump is in the restroom. And although the restroom has outlets, I'm not big on standing out in the open with women walking in and out and anyone being able to look in and see me in the mirror with my breast hanging out. So basically this works well for my situation, so far, because I can hang out in one of the stalls and pump away. The only complaint I really have is that it is pretty noisy and I'm sure it will eat through batteries. I will probably see about investing in some rechargeable batteries and see if that works for me."
health personal care,health care,massage relaxation,3.0,"I have chronic back and neck pain and some arthritis. I have used and worn-out a number of massagers over the years. Usually my complaint is that they are too noisy and get hot after a few minutes of use. The HoMedics PA-1 Action Massager is no exception. It's no louder than any of the others, and it gets too hot to use after about 15 minutes. I believe the manufacturer warns of this in the instructions. What I didn't expect was that the darn thing would bite! Yes, the HoMedics PA-1 Action Massager not only bites, it pulls hair. If you get it near your hairline, or near an area that is small, like your earlobes, you will get bitten and pinched. The manufacturer also warns of this, but who reads instructions. The HoMedics PA-1 Action Massager is also heavy (about 4 pounds)and cumbersome. It's potentiometer allows for some variation in the speed of the vibration, but the effects at lower speeds seem to be more powerful (and painful) than the teeth-jarring you get at higher speeds. Panasonic used to make a good massager, and I will look for that the next time I buy one. (Which may be the next time I get an earlobe caught in the jaws of the HoMedics PA-1 Action Massager)."
baby products,feeding,breastfeeding,1.0,"After my first portable breast pump died I decided to try this one because I liked the idea of saving time with the double pumping option. I found that not only was the suction not as strong with this model, but it would take at least three hands to use the double pumping option. Perhaps I am simply uncoordinated, but it seems that I was only able to get both to work for a minute or so, before I would make a small move and would have to spend another 5 minutes trying to reposition. Once I was able to get things working properly I found it to be a painful experiance. I DO NOT recommend this for any person who has large breasts or is not a contortionist."
grocery gourmet food,beverages,juices,5.0,"Just to warn you. when in trying to trick you in the widescreen format, the company made a mistake by also including the full screen version with it. i compared the widescreen and the full screen. and the full screen seems to comtain more picture at the top and bottom. which must mean, that all they did was take the full screen version, cut off the top a bottom slightly and call it widescreen. which is strange because i would expect it to be easier just to make the theatrical version than to carefully edit the full screen and rip many people off."
baby products,feeding,breastfeeding,5.0,A definite must have if you own a Medela pump in style. Its esy to pump anywhere you go by just plugging into your cars cigarette lighter.I have found no difference in suction between using the a/c adaptor in the house or the car adaptor......
baby products,feeding,bottle feeding,5.0,"We love our Quick Serve bottle warmer. It is fast, and works great with our disposable bottles. We have used a more expensive warmer in the past, and this one works even better. I would definitely recommend this product to anyone looking. It is easy to use- just put the water in, turn it on, and by the time you get a diaper changed, it is ready. It works with steam, so the bottle isn't soaking wet when you take it out."
grocery gourmet food,beverages,juices,4.0,"Winona Ryder is HOT! HOT! HOT! as the gothic death-rock princess of Doom (see &quot;Lucas&quot; for more W.R. action) The best performance from that eldest Baldwin brother that I've ever seen from any of them.His zenith I'm sure. BEST PERFORMANCE - goes to - Miss Ryder!,of course, I'm a BIG fan, you see? FAV PART - when Beetlejuice was chumming up to Baldwin's character while wearing the same type clothes. No big deal, just witty and clever charm with spit. and when Beetlejuice hits up on Gina Davis and/or Winona Ryder"
health personal care,health care,massage relaxation,5.0,"After a long day, I spend a few minutes on my massager and the strain of the day eases away all the tension in my body. I had the ""chair"" version. This one is better. I even got my husband hooked and he is a physiologist who doesn't usually advocate homeopathic therapies...a great product at a great price. (Other places sell it for (much more).)"
baby products,feeding,bottle feeding,5.0,"Wow, what a great product. I purchased this for my sister - who just had twins. This saves her HOURS of preparation as she is very careful to have no germs anywhere near her precious babies. As a 31 yar-old first-time mom, she cried and was worried that she couldn't handle motherhood when she initially got home with her twin preemies. Products like this really made the transition much easier for her, and after four weeks, she feels pretty confident with what she's done and learned already. This product is a *snap* to use, and she can spend her available time doing other needed things. I highly recommend this to every new mom - ESPECIALLY of multiples!!"
baby products,feeding,bottle feeding,5.0,I have the From Dusk To Dawn warmer which is wonderful but is to big to carry the whole thing back and forth from the kitchen to the bedroom at night and vice versa. That's why I bought this one to keep on the kitchen counter for daytime feedings. I am so glad I did. This is a great warmer! Its terrific design holds ANY kind of bottle PLUS includes a special basket to heat baby food jars. The water vile is transparent and has lines so you can customize and remember the perfect water level for the amount of formula your heating. The &quot;on&quot; button lights up when it is running and shuts off automatically when it is fully heated. (My 4 yr old son even tells me when the bottle is ready) Its also nice and small so it doesnt take up much room on your counter. I'm very glad I purchased this product.
baby products,feeding,breastfeeding,4.0,I would recommend this pump to everyone. If you are not going back to work and don't need to pump all day long this is the product for you. If you can't get let down with this pump then there is a problem. I never had any problem with let down. In fact I find the suction overwhelming and need to back off a bit. I can usually pump 5 ounces in under 10 minutes. I have been using mine for 8 months and it just died on me and will go buy another. It's like any other electric object. If you use it long enough it's sure to go. As for the noise...oh well. It's a better pump then the Evenflow.
baby products,feeding,bottle feeding,5.0,The Advent Bottle Warmer was given to us as a gift and we swear it is the one thing we use the most. We heat up all bottles and food for our little girl in this warmer. We even leave a bottle of water in the warmer at all times (on low) for emergency feedings. We can't begin to tell you how useful the warmer has been for us. We are always ready for what our little girl needs. By the way if your Advent bottle warmer is over filling use common sense and don't put that much water in it!!! Heeellooo.
baby products,feeding,bottle feeding,5.0,"When I was expecting my first child I had a decision to make. What type of bottle would I use? I did not want the added expense of disposable bottle liners and some bottles said they made less air but I couldn't see how. So we chose VentAire. We only bought 3 bottles and that was all we used until she was 1 year. She never had gas or really had to be burped after her formula was gone. Which was great because she would wake up if we tried. I went through nipples like crazy because my fiance could not understand the whole, do not put the bottle brush through the nipple idea. Now we are expecting our 2nd in April and are going back to VentAire. I recommend it to everyone I know and will always use them. The only problem I have is at the top where the nipple screws on there is an area where formula can get caught. It is hard to get it out, but the benefits from VentAire out weighs this little problem. Soaking in super hot water and cleaning from the bottom up helps get it out. If you are considering these bottles GET THEM!! Mine wered dropped from grocery carts and thrown across the room and never had a scratch on them. They last through everything and then some."
baby products,feeding,bottle feeding,1.0,The only good thing I can say about these bottles is that they can turn into a sippy cup otherwise its so frustrating they leak all the time I have 5 bottles that all leak my friend had the same problem not worth it I hate hearing my son cry because I have to stop and mess with the bottle.
baby products,feeding,bottle feeding,2.0,"I used this warmer 4 times. Each time I got an electric shock from it. I know there has to be a safer alternative. Perhaps another brand. I started to just fill up a bowl with HOT tap water and place the bottle in it for a couple of minutes. I found that to work just as well, and was not as painful as the shocks!"
baby products,feeding,bottle feeding,5.0,"Before I got this bottle warmer, I was warming bottles in a saucepan on the stove, which took anywhere from 3 - 5 minutes, while my newborn screamed his head off, at 3am, waiting for his bottle. This warmer is one of the best, I think. It only takes about 1 - 2 minutes to warm up a bottle to the perfect temperature, provided you follow the instructions. I had to play around with it at first, getting it to work perfectly, but after a couple of days of adjusting the amount of water I used, I got it right. My son is 10 months old now, and I still use this warmer, and I've never had a problem with it either."
baby products,feeding,bottle feeding,4.0,"HOW TO FIX THE LEAKINGDON'T TIGHTEN THE TOP VERY TIGHT. This may seem counter-intuitive, but just turn until very slightly snug. That does it. We tried it a couple of times with Avent bottles full of water. No leaks. Not a one. It seems that over tightening is the #1 reason for leaks.Our babies loved the Avent bottles/nipples, but the leaking drove us absolutely nuts until I finally found the answer on the Avent website in a frequently asked questions section."
grocery gourmet food,beverages,juices,4.0,"Michael Keaton was already on his way to being a major star when he played the ghost with the most in ""Beetlejuice."" His performance in the title role simply solidified his status as one of Hollywood's brightest comedy stars.Now, years later, this film still generates the same belly laughs that it did when it was first released. Alec Baldwin and Geena Davis have fun in their roles as husband and wife who are surprised to find themselves dead, but they are merely window-dressing for Keaton's centerpiece. The only complaint here is that there are a few too many gross-out gags, but that is something which has come to define many of director Tim Burton's films. Still, the movie is a lot of fun from beginning to end, and it's worth considering adding it to your video collection."
baby products,feeding,bottle feeding,5.0,"I breastfeed, pump, and supplement fomula. This sterilizer is prized! Easy and holds enough items. I sterilize my breast pump too. My husband and I don't use enough dishes to run the dishwasher daily and this is much more convenient...sterilize when you want to and no danger of forgetting bottles on the stove.Excellent!"
baby products,feeding,bottle feeding,3.0,"I also had a hard time getting bottles warmed up just right...I had to constantly shake the bottles and then re-heat to get an all over even temperature due to uneven heating. It's much quicker to warm bottles with hot water, however, it is very convenient to warm bottles upstairs in the middle of the night."
